system:index,aspect,days,elevation,evimax,evimean,evimedian,evimin,evisum,labels,lstmax,lstmean,lstmedian,lstmin,lstsum,ndvimax,ndvimean,ndvimedian,ndvimin,ndvisum,ndwimax,ndwimean,ndwimedian,ndwimin,ndwisum,precmax,precmean,precmedian,precmin,precsum,slope,time,.geo
1_1_1_1_0000000000000000024e_0_0,64.276955,2,86,0.42958029931574526,0.42958029931574526,0.42958029931574526,0.42958029931574526,0.42958029931574526,1,22.83000000000004,22.83000000000004,22.83000000000004,22.83000000000004,22.83000000000004,0.670474,0.670474,0.670474,0.670474,0.6704740148486579,-0.025487257,-0.025487257,-0.025487257,-0.025487257,-0.02548725637181406,0.0,0.0,0.0,0.0,0.0,4.398838,20150109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.35041984557746,23.111406472184992]}"
1_1_1_1_00000000000000000306_0_0,111.471016,12,177,0.429036340625565,0.34433648214177276,0.33160327224916,0.27791116446578634,2.0660188928506367,1,19.99000000000001,18.09400000000003,18.450000000000045,16.230000000000018,90.47000000000014,0.72409105,0.6454712,0.6351367,0.5657841,3.8728273884340805,-0.0017129154,-0.025739584,-0.028405698,-0.03875969,-0.15443750739136353,8.8126135,1.2466514,0.0,0.0,14.95981740951538,10.644953,20150109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.98785064834313,22.258006952271444]}"
1_1_1_1_000000000000000001d3_0_0,63.17043,2,366,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,4.741289,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[111.99072068297045,23.668361948339093]}"
1_1_1_1_0000000000000000023e_0_0,44.291706,10,148,0.40776163325363257,0.3583167614124954,0.3677394781946296,0.2873721262787372,1.791583807062477,1,23.690000000000055,23.690000000000055,23.690000000000055,23.690000000000055,23.690000000000055,0.681106,0.5620714,0.64631844,0.25543877,2.810356951694543,0.04987735,-0.006394041,-0.013499899,-0.038819604,-0.03197020441976293,9.080909,1.6229558,0.0,0.0,16.229557514190674,2.3472357,20150217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.94779950951694,23.219204306279334]}"
1_1_1_1_00000000000000000323_0_0,275.97202,13,59,0.4713152898253975,0.4108687514002883,0.42612793113683595,0.32730314754784073,2.0543437570014413,1,20.350000000000023,19.05666666666669,20.05000000000001,16.77000000000004,57.17000000000007,0.7429578,0.6102594,0.7005199,0.30038387,3.051297036950227,0.14587738,0.034396507,0.018518519,-0.037058912,0.17198253126528426,0.0,0.0,0.0,0.0,0.0,8.2988405,20151223,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.52970985344217,21.94359660282961]}"
1_1_1_1_00000000000000000007_0_0,137.91048,19,389,0.2860687699397377,0.24683959882733944,0.24735942839391117,0.21078313734901205,1.2341979941366972,1,20.670000000000016,20.600000000000023,20.600000000000023,20.53000000000003,41.200000000000045,0.47255194,0.3865,0.4380715,0.18237288,1.9324999461239254,0.021077283,-0.05084429,-0.06500235,-0.10071525,-0.2542214391893348,9.159571,1.5772194,0.0,0.0,29.967166900634766,7.149142,20150206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.84736328647053,25.505416704363515]}"
1_1_1_1_00000000000000000008_0_0,77.71018,11,365,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,9.212986,1.9984871,0.0,0.0,21.98335838317871,9.445202,20150206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.85185486289113,25.509908280784114]}"
1_1_1_1_0000000000000000003a_0_0,162.42592,12,419,0.31642411642411644,0.31642411642411644,0.31642411642411644,0.31642411642411644,0.31642411642411644,1,14.010000000000048,14.010000000000048,14.010000000000048,14.010000000000048,14.010000000000048,0.57218045,0.57218045,0.57218045,0.57218045,0.5721804511278196,-0.057258792,-0.057258792,-0.057258792,-0.057258792,-0.05725879170423807,8.842722,2.1791747,0.0,0.0,26.15009593963623,14.517817,20150206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.08379529496894,25.069733791565547]}"
1_1_1_1_00000000000000000045_0_0,151.23988,12,451,0.30670739361479565,0.30670739361479565,0.30670739361479565,0.30670739361479565,0.30670739361479565,1,15.350000000000023,15.350000000000023,15.350000000000023,15.350000000000023,15.350000000000023,0.56558645,0.56558645,0.56558645,0.56558645,0.5655864197530864,-0.055839926,-0.055839926,-0.055839926,-0.055839926,-0.055839925546765985,9.266814,2.238136,0.0,0.0,26.85763168334961,12.178638,20150206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.99845534297758,25.024818027359572]}"
1_1_1_1_000000000000000000d8_0_0,339.9068,24,430,0.38279120140419015,0.26771249302353417,0.2526128741060523,0.20533966429255696,3.21254991628241,1,21.950000000000045,18.69200000000003,18.980000000000018,12.830000000000041,186.9200000000003,0.6301411,0.5127012,0.51288825,0.3442623,6.152414776726938,0.010921311,-0.061406936,-0.064781606,-0.11292098,-0.7368832509460361,7.746977,0.3227907,0.0,0.0,7.746976852416992,15.704754,20150206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.20506785832507,24.328623682166942]}"
1_1_1_1_000000000000000001c6_0_0,354.0322,40,180,0.32848050332869994,0.23999040911219657,0.23353755535656617,0.19317631876109048,4.799808182243932,1,24.890000000000043,21.645714285714313,22.080000000000013,16.450000000000045,303.04000000000036,0.6,0.46388185,0.4588338,0.39307535,9.277636765954,-0.028868906,-0.08619632,-0.080983825,-0.15560082,-1.723926316946745,6.7947063,0.732531,0.0,0.0,29.301240921020508,12.002654,20150206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.23076882401459,23.73573559464806]}"
1_1_1_1_000000000000000001c7_0_0,354.0322,40,180,0.32848050332869994,0.23999040911219657,0.23353755535656617,0.19317631876109048,4.799808182243932,1,24.890000000000043,21.645714285714313,22.080000000000013,16.450000000000045,303.04000000000036,0.6,0.46388185,0.4588338,0.39307535,9.277636765954,-0.028868906,-0.08619632,-0.080983825,-0.15560082,-1.723926316946745,6.7947063,0.732531,0.0,0.0,29.301240921020508,12.002654,20150206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.23076882401459,23.73573559464806]}"
1_1_1_1_00000000000000000030_0_0,177.27985,9,461,0.3239182198866902,0.30266209621808193,0.3014219123349915,0.28264615643256424,0.9079862886542458,1,20.890000000000043,18.92000000000003,18.480000000000018,17.83000000000004,75.68000000000012,0.6083269,0.5614486,0.5725841,0.5034347,1.6843457265221307,0.009841443,-0.026852429,-0.006666667,-0.08373206,-0.08055728487670422,7.8703346,1.4159919,0.0,0.0,12.743927001953125,5.3812437,20150126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.59870504154439,25.14159901429511]}"
1_1_1_1_00000000000000000031_0_0,65.0845,9,278,0.37542873672465804,0.3292169543851066,0.32748114334354156,0.28647679412868526,1.3168678175404265,1,21.430000000000007,20.08200000000003,19.470000000000027,19.210000000000036,100.41000000000014,0.6590497,0.6001146,0.5827296,0.5759494,2.4004582578414255,-0.018033491,-0.026776064,-0.02038933,-0.048292108,-0.10710426047444344,7.669014,1.4078456,0.0,0.0,12.670610904693604,5.350781,20150126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.68853656995634,25.150582167136303]}"
